Customer Id,Account Number,First Name,Last Name,DOB,PAN Card,Contact,Employment Info,Relationship Status
3382,81159719,Julie,Jones,07-08-1966,CE8IMDBI7M,9.17594E+11,Closed,Single
7887,99071334,,,,,,,
5216,29779988,Ana,Johnson,27-04-1971,ZQA7IW0YN2,9.18391E+11,Closed,Married
1179,67821634,Danny,Wilson,17-05-1979,34Y3NQV84G,9.17352E+11,Closed,Single
2994,34743160,Adam,Cantu,07-04-2005,I1NQOI629L,9.16245E+11,Closed,Single
7232,60946345,Mary,Gardner,07-04-2002,JJGHQWD29Q,9.18528E+11,Active,Single
8464,39036009,Rhonda,Hines,23-09-1982,B95UXU8G24,9.18308E+11,Active,Married
5657,67627971,Renee,Mendoza,17-12-2002,H6Q3,9.17598E+11,Active,Single
7034,31267071,Caleb,Padilla,09-01-1963,DK86S83MAB,9.18621E+11,Closed,Married
5418,85618735,John,Smith,18-01-1960,NWV1KPIDW1,9.16407E+11,Closed,Married
1402,76059440,Nicholas,Reyes,01-11-1963,PJRTCTDAK9,9.1924E+11,Active,Single
4788,67201080,Michael,Greene,13-08-2003,DFZ21WI5P1,9.19687E+11,Closed,Married
1255,79708218,Kimberly,Reyes,04-08-1957,V4GCK18P4Q,9.17501E+11,Active,Married
6659,96694770,Mary,Brown,05-06-1970,I1NQOI629L,9.16641E+11,Closed,Single
3849,20547930,Brandon,Simmons,06-05-1974,3RWV342DY2,9.19843E+11,Active,Single
3206,41529703,Amanda,Johnson,14-10-1966,0G3L5SHQZU,9.1746E+11,Active,Married
2735,42344547,Brian,,Hines,,,,Married
2629,46276176,Shannon,Baker,03-07-1961,UXTGRX8E7V,9.18112E+11,Closed,Single
2186,82442555,Adriana,Thompson,01-12-1995,,9.1727E+11,Active,
3062,24269679,Alicia,Hancock,15-11-2002,RIMFPDTST7!!,9.16529E+11,Active,Married
8879,48948426,Meagan,Rogers,02-08-1969,9SIVQTOR3I,9.1965E+11,Active,Married
3173,56601730,Joseph,Pearson,08-03-1987,62XDGU8LPO,9.17839E+11,Active,Married
5655,62165013,Christina,Ramirez,14-05-1988,AU8CZY3O7G,9.16963E+11,Active,Married
2488,39770849,John,Fox,13-05-1993,H5J5C6BC2Q,9.18431E+11,Active,Married
7239,79146496,Olivia,Becker,14-11-1956,T218MJ2BGP,9.17177E+11,Active,Married
9085,71028073,Michael,Hubbard,21-03-1976,NNS2XC7RGN,9.19979E+11,Closed,Married
9210,82082072,Teresa,Baker,13-03-1961,RMYQ1CPOGD,9.1975E+11,Closed,Single
1447,47406230,Andrew,Thompson,21-12-1962,BMX1KSBAUS,9.19699E+11,Active,Single
6926,64543650,Glenn,Kirby,19-03-1976,OZ8EU1N4YE,9.17103E+11,Closed,Single
6287,51214173,Diana,Rodriguez,25-09-1968,YNR8QLWBR2,9.19053E+11,Active,Married
