customerId,account_No,firstName,lastName,dob,panNumber,contactNo,employmentStatus,relationshipStatus,email,transactionId,amount,transactionType,transactionDate,KYC_date,defence_background,okToCall,criminalRecord,feedbackDate,feedback,feedbackRating
681300,2.01E+11,Frankie,Bartell,2020-09-04,,5893497649,closed,married,kasey.oconnell@hotmail.com,3436270215,130.94,credit,2020-09-04,2020-09-04,FALSE,TRUE,FALSE,2020-09-04,Libero pariatur sint impedit sint id.,4
924482,9.08E+11,Joaquin,Dibbert,2022-09-04,03T5Y11L92,9187728613,active,single,,2869742634,401.25,credit,2022-09-04,2015-09-04,FALSE,TRUE,FALSE,2022-09-04,Rerum consectetur dicta.,4
845407,7.28E+11,Antwan,Abshire,2019-09-04,,,active,single,,3316423861,102.32,debit,2019-09-04,2018-09-04,FALSE,FALSE,TRUE,2019-09-04,,4
445933,3.14E+11,Meridith,Cole,2014-09-04,,8800714306,active,single,ethel.heathcote@hotmail.com,2301368310,366.62,debit,2014-09-04,2017-09-04,FALSE,FALSE,TRUE,2014-09-04,,2
497385,8.59E+11,Candance,Farrell,2014-09-04,,8340094291,closed,married,,9595779851,840.68,credit,2014-09-04,2016-09-04,TRUE,TRUE,TRUE,2014-09-04,,2
77558,7.61E+11,Marcelino,Schaefer,2018-09-04,P58859U23Q,,closed,single,,5561387361,-750.97,debit,2018-09-04,2021-09-04,FALSE,FALSE,FALSE,2018-09-04,Nulla aut sequi assumenda voluptate.,2
444141,9.49E+11,Filomena,Little,2018-09-04,1KM11P003A,,active,married,,6602561313,573,debit,2018-09-04,2014-09-04,FALSE,TRUE,TRUE,2018-09-04,Natus non laborum veniam.,4
450364,5.51E+11,Galen,Stoltenberg,2019-09-04,9363U0532Z,,closed,married,,6407090335,733.92,debit,2019-09-04,2020-09-04,FALSE,FALSE,FALSE,2019-09-04,,2
978659,8.47E+11,Myron,Price,2020-09-04,T8ZOZC68LX,,active,married,,432873315,292,credit,2020-09-04,2021-09-04,TRUE,FALSE,TRUE,2020-09-04,Voluptatem illum at perferendis.,4
106744,2.16E+11,Velma,Shields,2019-09-04,LX3U9PBCT8,7004377992,closed,married,,6167080183,-244.71,debit,2019-09-04,2019-09-04,TRUE,FALSE,TRUE,2019-09-04,Sequi eligendi incidunt neque sapiente.,2
917237,5.34E+11,Aurora,Deckow,2020-09-04,A65U9N3CPZ,3363846643,active,married,palmira.stamm@yahoo.com,5286012665,772.93,debit,2020-09-04,2014-09-04,TRUE,FALSE,TRUE,2020-09-04,Itaque assumenda blanditiis.,4
895408,5.81E+11,Antoine,Rohan,2021-09-04,,,active,married,,4728747983,833.74,debit,2021-09-04,2022-09-04,FALSE,TRUE,FALSE,2021-09-04,Dolorum quia quod consectetur ut eligendi saepe.,1
903840,3.61E+11,Samatha,Stracke,2017-09-04,,9848832950,closed,married,,6415908293,-912.32,debit,2017-09-04,2017-09-04,TRUE,TRUE,FALSE,2017-09-04,Reiciendis consequatur voluptatem error rerum vel.,1
46115,9.60E+11,Vita,Ebert,2017-09-04,,2333753458,closed,married,corey.mckenzie@gmail.com,24124619,787.49,debit,2017-09-04,2015-09-04,TRUE,FALSE,TRUE,2017-09-04,Molestias ipsam perspiciatis earum nulla voluptatem ex.,2
777206,2.86E+11,Adam,Zboncak,2021-09-04,JOEN7GA3M6,,active,married,quinton.murphy@hotmail.com,6455831333,857.74,debit,2021-09-04,2021-09-04,TRUE,TRUE,FALSE,2021-09-04,Esse adipisci quod voluptatum consectetur iste est laudantium.,4
951168,2.34E+11,Johnna,Altenwerth,2020-09-04,,5872188196,closed,single,,755778681,-599.22,debit,2020-09-04,2016-09-04,TRUE,TRUE,FALSE,2020-09-04,,4
857881,4.13E+11,Edison,Hagenes,2016-09-04,,7643112628,closed,single,susann.rippin@hotmail.com,2233841388,923.53,credit,2016-09-04,2021-09-04,TRUE,FALSE,FALSE,2016-09-04,,4
763704,7.78E+11,Delcie,Kassulke,2014-09-04,EE4YUFQ8LZ,7816253317,active,single,,4205211874,269.07,credit,2014-09-04,2020-09-04,TRUE,FALSE,FALSE,2014-09-04,,2
598145,2.84E+11,Lawerence,Watsica,2017-09-04,,9495458341,active,married,,4530075421,340.75,credit,2017-09-04,2018-09-04,FALSE,FALSE,FALSE,2017-09-04,Saepe alias sapiente.,2
53087,51467404567,Omer,Ratke,2016-09-04,P542L46SPS,4015207507,active,married,,2635046517,350.95,debit,2016-09-04,2019-09-04,TRUE,TRUE,FALSE,2016-09-04,,4
486762,8.84E+11,Fredric,Gerhold,2018-09-04,1SSH1G666Z,,active,single,loida.runolfsson@gmail.com,6574533334,71.67,debit,2018-09-04,2017-09-04,TRUE,TRUE,FALSE,2018-09-04,Et cum ut quia.,4
716386,3.36E+11,Seema,Keebler,2020-09-04,2NP5KMOR3Q,,active,married,cyrus.cole@gmail.com,8490138110,258.32,debit,2020-09-04,2018-09-04,FALSE,TRUE,TRUE,2020-09-04,Aut quis cumque quia perferendis dolor veniam quo.,4
142080,5.41E+11,Spencer,Hammes,2016-09-04,,1408696034,closed,married,,6013206718,232.9,credit,2016-09-04,2018-09-04,FALSE,FALSE,FALSE,2016-09-04,Consequatur recusandae molestiae quibusdam.,3
886830,6.69E+11,Lucien,King,2019-09-04,7LHTA6409L,,active,married,cheree.little@gmail.com,7723159948,282.42,credit,2019-09-04,2014-09-04,TRUE,TRUE,FALSE,2019-09-04,Sit molestiae dolor dolore ullam.,3
8209,5.90E+11,Kyla,Stroman,2020-09-04,,3518865152,active,single,nicholle.jaskolski@hotmail.com,8363473644,172.55,debit,2020-09-04,2022-09-04,TRUE,FALSE,TRUE,2020-09-04,,4
805004,2.10E+11,Shantell,Hartmann,2021-09-04,TJ61K9B64Y,,closed,married,,9937991510,240.79,debit,2021-09-04,2015-09-04,TRUE,TRUE,TRUE,2021-09-04,Asperiores et sed.,2
646615,4.44E+11,Lyman,Connelly,2014-09-04,,6432536612,active,single,chasity.cremin@gmail.com,2863383281,582.39,credit,2014-09-04,2019-09-04,TRUE,TRUE,TRUE,2014-09-04,Omnis sit libero et veritatis rerum.,3
325764,5.82E+11,Alyse,McKenzie,2020-09-04,,,closed,single,mohammad.skiles@hotmail.com,565733185,523.41,debit,2020-09-04,2021-09-04,TRUE,FALSE,TRUE,2020-09-04,Et et nisi.,4
588094,3.57E+11,Francisco,Rempel,2019-09-04,,1519237846,closed,single,drew.hintz@gmail.com,4732003317,354.09,credit,2019-09-04,2020-09-04,TRUE,TRUE,FALSE,2019-09-04,,3
356627,2.56E+11,Josphine,King,2017-09-04,,,closed,married,otelia.jones@hotmail.com,9280035608,904.43,debit,2017-09-04,2021-09-04,FALSE,FALSE,FALSE,2017-09-04,Sed aut voluptatum numquam.,3
786437,9.36E+11,Valrie,Stoltenberg,2016-09-04,,1622377355,closed,married,,6857003225,427.23,debit,2016-09-04,2015-09-04,TRUE,FALSE,FALSE,2016-09-04,Ducimus quo odit est in tempore possimus natus.,2
725752,7.54E+11,Carmel,Marvin,2018-09-04,,4436368863,active,single,rico.shanahan@gmail.com,2058460399,97.7,credit,2018-09-04,2016-09-04,FALSE,TRUE,TRUE,2018-09-04,,3
480888,8.07E+11,Lolita,Dietrich,2020-09-04,,2378337547,active,single,simonne.pollich@yahoo.com,5848662435,440.55,credit,2020-09-04,2014-09-04,TRUE,FALSE,TRUE,2020-09-04,Eligendi sed explicabo.,4
855781,7.93E+11,John,Parker,2015-09-04,S373Z5W1A7,2934020131,closed,married,,3613373821,165.12,debit,2015-09-04,2020-09-04,FALSE,FALSE,FALSE,2015-09-04,Ut animi consequatur consequatur a et voluptatem.,1
187457,9.40E+11,Loree,Jerde,2017-09-04,30XL26NW98,,active,single,,8227274221,582.52,credit,2017-09-04,2016-09-04,TRUE,FALSE,FALSE,2017-09-04,Recusandae nihil accusamus autem ut sed molestiae.,2
786843,3.01E+11,Manuel,Effertz,2019-09-04,,,active,married,,2769008109,473.15,credit,2019-09-04,2015-09-04,FALSE,FALSE,FALSE,2019-09-04,,1
528804,1.66E+11,Rhett,Mertz,2017-09-04,,,active,married,,5380093485,64.45,credit,2017-09-04,2014-09-04,TRUE,TRUE,TRUE,2017-09-04,,3
17587,3.78E+11,Romelia,Robel,2014-09-04,P0GY774JX0,,closed,single,tom.kreiger@gmail.com,7183861569,320.09,credit,2014-09-04,2014-09-04,FALSE,FALSE,TRUE,2014-09-04,Perferendis distinctio et.,1
826743,6.85E+11,Leandro,Bins,2021-09-04,EWOCF3L6BW,8046902118,active,single,erin.weimann@hotmail.com,1378577343,390.38,debit,2021-09-04,2021-09-04,TRUE,TRUE,TRUE,2021-09-04,Ipsum optio rerum occaecati natus et.,4
900200,7.52E+11,Priscilla,Reynolds,2021-09-04,QE9259665C,,active,single,tommie.mraz@gmail.com,6834676607,711.22,debit,2021-09-04,2017-09-04,TRUE,FALSE,TRUE,2021-09-04,Magnam magnam id facilis qui consequuntur et.,4
868858,9.67E+11,Edwardo,Wehner,2015-09-04,,2128088728,closed,single,,3680881109,822.9,credit,2015-09-04,2017-09-04,FALSE,TRUE,FALSE,2015-09-04,,4
