Customer Id,Account Number,First Name,Last Name,DOB,PAN Card,Contact,Employment Info,Relationship Status
4114,27193814,Candace,Flores,24-11-1976,TJWJ0HGI00,+91-6941590915,Active,Married
7968,28693163,Michael,Stewart,11-04-1963,FHCG8AL77G,+91-7146224817,Closed,Married
3476,63485424,,,,,,,
2482,26474767,John,Gomez,06-11-1980,Y39BY51DFM,+91-6863384174,Active,Married
1619,29651433,James,Allen,23-03-1978,3YR4P9BB7T,+91-8267855417,Closed,Single
4247,58310024,Michael,Harris,15-04-1969,MA99AOIE3C,+91-9427037100,Active,Single
1551,60975031,Phillip,Rodriguez,10-03-1991,ICFWBM9ME7,+91-859586082222,Active,Single
3064,37798477,Samantha,Johnston,29-05-2002,8ZMADWM6KL,+91-6351672288,Active,Single
4886,59131491,Rachel,Ray,06-08-1994,ZNPGMG550A,+91-7196344411,Active,Single
9736,77758077,Dustin,Reyes,04-11-1952,SSPYOGVOXS,+91-9378650644,Closed,Married
2257,95103589,Tanner,Klein,09-01-1974,66X2FNSRAI,+91-6591627133,Closed,Single
8176,71073131,Michael,Leonard,02-05-1995,HRGBHQFT1Z,+91-7806944485,Closed,Married
4088,92264481,David,Farrell,09-02-1961,9AVW7ZS85Y,+91-7155528004,Active,Married
7582,98966869,Eric,White,22-03-1968,8TQYVP59MV,+91-6619169464,Active,Married
6052,46365171,Michael,Brooks,06-09-1987,2HDS94PWBM,+91-6788673289,Closed,Married
7667,15260224,Heather,Leblanc,21-11-1985,8XSFFT1SL3,+91-9832813578,Closed,Single
8682,49090960,Joan,Meyers,19-01-1978,NQAR30IMBF,+91-6216994011,Active,Married
7191,23239391,Madeline,Mcguire,26-11-1990,1HKWKM5BFK,+91-8134820702,Active,Married
3500,47185916,Felicia,Moran,27-07-1978,QE1UCZCUDY,+91-8254113246,Closed,Married
5232,19276397,Madison,Lawrence,14-11-1957,258N56RN9P,+91-9743448482,Closed,Single
6456,77750469,Katherine,Ryan,31-05-1980,SXSO6UTGGG,+91-8285598044,Closed,Single
1737,56515386,Margaret,Richards,01-03-1958,3KOAF046YY,+91-8369013230,Closed,Married
7912,61849613,Julie,Sanchez,24-01-1963,DCMBAAXYA7,+91-7782110149,Active,Single
4460,56998665,Kelsey,Adams,26-07-1993,91AN64DBYT,+91-7613001267,Active,Married
6824,13741208,Lee,Hale,22-04-1981,6DF4HAR1UC,+91-8646969069,Closed,Married
6923,17922814,Taylor,Hicks,04-07-1986,E4C48D1D79,+91-8359422282,Active,Married
3825,99316088,Robert,Nunez,05-06-1976,6K3JBJ82NF,+91-8283996807,Active,Married
5108,56003078,Jordan,Richardson,04-01-1958,3038XRV33F,+91-6382753417,Active,Married
8303,69970131,Anthony,Wilson,20-09-1996,LJUMLHUIB2,+91-6635423810,Active,Single
4200,44983366,Cassandra,Stevens,11-12-1984,EJ89IK8YNO,+91-9794894760,Active,Married
9231,46226988,Tracy,Taylor,21-11-1997,YGFZLO7OL0,+91-6852034312,Closed,Married
2801,31559498,Jeremy,Myers,28-01-1986,C8FFXW2N4R,+91-6030946981,Active,Single
2371,52426562,James,Kemp,07-08-1985,MT9T59LGA9,+91-8113335399,Closed,Single
9204,90380366,Caleb,Jenkins,20-03-1986,V37C1YYH0E,+91-9462766095,Closed,Single
7619,35033890,Susan,Davidson,06-04-1995,L9EGBLU7UI,+91-9594501786,Closed,Single
1223,44033809,Erin,Carroll,03-07-1981,06NYGNDB14,+91-8245365940,Active,Married
4814,70585329,Kathleen,Mckay,23-06-1974,D77P0688WC,+91-7041425487,Closed,Single
5771,26462752,Teresa,Sanchez,22-01-1993,HA9IAX30C2,+91-7707603015,Active,Married
8561,71789260,Melanie,Allen,30-01-1969,57ICK135R8,+91-9831100309,Active,Married
4127,77270341,Suzanne,Carter,20-10-2004,YLOI361WNQ,+91-9552564611,Active,Single
5301,48211167,Carmen,Washington,31-12-1985,G1F17230E0,+91-8507317951,Active,Single
6771,25130555,Joseph,Ellis,15-07-1955,E994FBX1T9,+91-8269003887,Closed,Married
7460,92324676,Rebecca,Taylor,20-03-1960,JQ0ZT5JJBU,+91-8766268453,Closed,Married
6935,45203243,Brian,Harris,11-11-2001,CSE4SY3SPT,+91-8174661089,Closed,Single
3035,60711742,Billy,Gonzalez,11-12-1981,4YUZ4749EY,+91-9684186844,Active,Married
8707,27088388,Denise,Cordova,02-07-1979,GWGLE2K677,+91-9875053056,Active,Married
3976,63954629,Elizabeth,Barnes,10-07-1963,7JUQDHP16S,+91-8650996137,Active,Single
1215,75957964,Gregory,Hayes,07-03-1961,AD9NB0DUJ3,+91-7891126308,Active,Single
1556,40492999,Lori,Nguyen,10-04-1977,PR3TX4RN6F,+91-8422342323,Closed,Married
3864,50717954,Sally,Gonzalez,08-03-2000,M71OZQ0ZN4,+91-6495337445,Active,Married
9501,81110474,Scott,Riley,30-12-2002,ACDTOSPR3R,+91-8190906023,Closed,Single
1117,83071964,Ryan,Smith,16-03-1977,DXB8FQ110C,+91-9169042788,Closed,Married
4794,45389180,Tyler,Carter,21-08-1989,P6EJ46KL4J,+91-9880308937,Active,Married
8761,40488097,Lisa,Bradford,25-01-2001,VCJBT137UL,+91-9158093643,Active,Married
5313,20320872,Heather,Nelson,12-01-1967,G5KCVN9B50,+91-7280387369,Active,Single
5351,30843571,Noah,Evans,17-05-1992,UNGSFSWBCQ,+91-8622895197,Active,Married
4655,75773883,Grant,Anthony,24-10-1967,PCLAERLDVR,+91-7646612699,Closed,Married
8144,76111214,Nathan,Hogan,21-07-1957,BLVNHTZNFW,+91-8672378096,Active,Single
1738,12575080,Gina,Miller,03-05-1964,DBIGJSIYVF,+91-6519977045,Active,Single
