customerId,account_No,firstName,lastName,dob,panNumber,contactNo,employmentStatus,relationshipStatus,email,transactionId,amount,transactionType,transactionDate,KYC_date,defence_background,okToCall,criminalRecord,feedbackDate,feedback,feedbackRating
70890,1.18E+11,Whitney,VonRueden,2019-09-04,37A8F904G4,3353530949,closed,single,lesha.labadie@hotmail.com,6442312765,276.8,credit,2019-09-04,2017-09-04,FALSE,FALSE,TRUE,2019-09-04,Commodi voluptas eveniet esse dolores quo.,4
165405,4.12E+11,Ervin,Fisher,2021-09-04,QJ6767V3JK,6322702110,closed,single,ronny.aufderhar@gmail.com,4140938409,213.96,debit,2021-09-04,2015-09-04,FALSE,TRUE,TRUE,2021-09-04,Quaerat enim dicta aspernatur quaerat dolores.,3
186959,4.62E+11,Tatyana,Reinger,2014-09-04,9REFLN92VM,8616619023,closed,married,renita.gutmann@hotmail.com,4377800745,42.52,debit,2014-09-04,2021-09-04,FALSE,TRUE,TRUE,2014-09-04,Ipsum in aperiam aliquam suscipit.,2
244597,8.49E+11,Maye,Hand,2015-09-04,7IJYH0F3NS,5088135653,closed,married,daniella.jacobi@yahoo.com,6889930183,763.08,debit,2015-09-04,2015-09-04,TRUE,FALSE,FALSE,2015-09-04,Accusamus eum voluptas esse voluptatem quis.,4
258024,4.21E+11,Brinda,Kertzmann,2015-09-04,E9M86JJYLH,1623793144,closed,married,gustavo.kihn@yahoo.com,3473269481,246.06,credit,2015-09-04,2022-09-04,TRUE,TRUE,TRUE,2015-09-04,Ea doloribus autem.,4
262961,8.49E+11,Josh,Paucek,2019-09-04,4QUL4WQ3LL,3025887254,active,single,chu.medhurst@gmail.com,2189479735,296.13,credit,2019-09-04,2014-09-04,FALSE,TRUE,FALSE,2019-09-04,Quae corrupti optio ut eaque voluptatem repudiandae.,3
265142,3.97E+11,Melita,Lueilwitz,2018-09-04,BBD7443YTW,6522796515,closed,single,antoine.pouros@hotmail.com,5780142000,458.44,debit,2018-09-04,2021-09-04,TRUE,TRUE,TRUE,2018-09-04,Eaque enim neque.,4
308961,6.27E+11,Jame,Pagac,2020-09-04,ZSCCIL09YW,2693985965,closed,single,freddie.johnson@yahoo.com,370806800,572.19,credit,2020-09-04,2017-09-04,FALSE,FALSE,FALSE,2020-09-04,At possimus quasi et laudantium.,2
342803,31424830587,Granville,Dooley,2018-09-04,25PG2S1XI2,9226798542,closed,single,lauren.jacobi@yahoo.com,4776773048,725.61,debit,2018-09-04,2021-09-04,FALSE,TRUE,FALSE,2018-09-04,Et ut provident sit facere totam autem.,4
364928,8.61E+11,Luetta,Weimann,2022-09-04,E52898369G,1295222158,active,married,melina.wehner@gmail.com,9534715779,268.68,credit,2022-09-04,2020-09-04,TRUE,FALSE,FALSE,2022-09-04,Sapiente temporibus enim.,3
381033,4.17E+11,Malcom,Hayes,2017-09-04,8P1CK17DTS,1112785841,closed,single,ignacio.ortiz@yahoo.com,540875120,853.76,credit,2017-09-04,2017-09-04,FALSE,TRUE,FALSE,2017-09-04,Esse voluptatem velit minus sed optio.,2
405049,64658657454,Sharie,Nienow,2014-09-04,69L7L82771,7645810391,active,single,bret.stark@gmail.com,3325188952,812.72,credit,2014-09-04,2017-09-04,TRUE,TRUE,TRUE,2014-09-04,Reiciendis non id esse.,4
